"GEO_ID","NAME","P3_001N","P3_001NA","P3_002N","P3_002NA","P3_003N","P3_003NA","P3_004N","P3_004NA","P3_005N","P3_005NA","P3_006N","P3_006NA","P3_007N","P3_007NA","P3_008N","P3_008NA","P3_009N","P3_009NA","P3_010N","P3_010NA","P3_011N","P3_011NA","P3_012N","P3_012NA","P3_013N","P3_013NA","P3_014N","P3_014NA","P3_015N","P3_015NA","P3_016N","P3_016NA","P3_017N","P3_017NA","P3_018N","P3_018NA","P3_019N","P3_019NA","P3_020N","P3_020NA","P3_021N","P3_021NA","P3_022N","P3_022NA","P3_023N","P3_023NA","P3_024N","P3_024NA","P3_025N","P3_025NA","P3_026N","P3_026NA","P3_027N","P3_027NA","P3_028N","P3_028NA","P3_029N","P3_029NA","P3_030N","P3_030NA","P3_031N","P3_031NA","P3_032N","P3_032NA","P3_033N","P3_033NA","P3_034N","P3_034NA","P3_035N","P3_035NA","P3_036N","P3_036NA","P3_037N","P3_037NA","P3_038N","P3_038NA","P3_039N","P3_039NA","P3_040N","P3_040NA","P3_041N","P3_041NA","P3_042N","P3_042NA","P3_043N","P3_043NA","P3_044N","P3_044NA","P3_045N","P3_045NA","P3_046N","P3_046NA","P3_047N","P3_047NA","P3_048N","P3_048NA","P3_049N","P3_049NA","P3_050N","P3_050NA","P3_051N","P3_051NA","P3_052N","P3_052NA","P3_053N","P3_053NA","P3_054N","P3_054NA","P3_055N","P3_055NA","P3_056N","P3_056NA","P3_057N","P3_057NA","P3_058N","P3_058NA","P3_059N","P3_059NA","P3_060N","P3_060NA","P3_061N","P3_061NA","P3_062N","P3_062NA","P3_063N","P3_063NA","P3_064N","P3_064NA","P3_065N","P3_065NA","P3_066N","P3_066NA","P3_067N","P3_067NA","P3_068N","P3_068NA","P3_069N","P3_069NA","P3_070N","P3_070NA","P3_071N","P3_071NA",
"0500000US48369","Parmer County, Texas","7029","null","5901","null","4078","null","58","null","132","null","18","null","0","null","1615","null","1128","null","1107","null","6","null","27","null","4","null","0","null","1040","null","0","null","0","null","0","null","8","null","0","null","0","null","14","null","0","null","0","null","8","null","17","null","0","null","1","null","0","null","11","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null",
"0500000US48371","Pecos County, Texas","11580","null","9109","null","5308","null","512","null","134","null","112","null","0","null","3043","null","2471","null","2422","null","8","null","116","null","18","null","4","null","2258","null","4","null","0","null","0","null","0","null","2","null","0","null","10","null","0","null","1","null","1","null","48","null","3","null","0","null","0","null","0","null","5","null","0","null","32","null","0","null","0","null","4","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48373","Polk County, Texas","40664","null","38162","null","30054","null","4088","null","736","null","282","null","2","null","3000","null","2502","null","2442","null","114","null","665","null","59","null","11","null","1501","null","9","null","2","null","4","null","35","null","1","null","7","null","34","null","0","null","0","null","0","null","50","null","8","null","2","null","6","null","2","null","5","null","1","null","18","null","0","null","4","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","7","null","0","null","0","null","4","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","3","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48375","Potter County, Texas","88598","null","75872","null","49141","null","8944","null","1093","null","4203","null","33","null","12458","null","12726","null","12447","null","429","null","1446","null","187","null","3","null","9980","null","86","null","12","null","5","null","90","null","8","null","3","null","143","null","22","null","32","null","1","null","255","null","58","null","0","null","1","null","28","null","22","null","8","null","111","null","13","null","10","null","1","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","23","null","3","null","0","null","15","null","2","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48377","Presidio County, Texas","4672","null","2860","null","1853","null","16","null","46","null","61","null","0","null","884","null","1812","null","1787","null","0","null","33","null","0","null","0","null","1738","null","0","null","0","null","0","null","0","null","0","null","0","null","14","null","2","null","0","null","0","null","21","null","2","null","2","null","0","null","0","null","0","null","0","null","11","null","0","null","1","null","4","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null",
"0500000US48379","Rains County, Texas","9646","null","9065","null","8390","null","209","null","75","null","48","null","3","null","340","null","581","null","553","null","18","null","247","null","26","null","0","null","260","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","23","null","2","null","0","null","0","null","0","null","0","null","0","null","7","null","7","null","1","null","0","null","0","null","0","null","0","null","2","null","0","null","4","null","0","null","0","null","0","null","0","null","5","null","0","null","0","null","5","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48381","Randall County, Texas","106753","null","95507","null","82928","null","3407","null","998","null","2045","null","39","null","6090","null","11246","null","10988","null","445","null","2104","null","302","null","45","null","7866","null","40","null","12","null","0","null","53","null","1","null","0","null","95","null","13","null","6","null","6","null","251","null","54","null","7","null","0","null","23","null","19","null","0","null","127","null","10","null","11","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","7","null","0","null","0","null","4","null","0","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48383","Reagan County, Texas","2402","null","1862","null","1283","null","32","null","18","null","18","null","1","null","510","null","540","null","527","null","8","null","21","null","0","null","0","null","478","null","0","null","0","null","0","null","2","null","0","null","0","null","9","null","4","null","3","null","2","null","5","null","0","null","0","null","1","null","0","null","0","null","1","null","1","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","7","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","3","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48385","Real County, Texas","2282","null","2043","null","1886","null","17","null","18","null","8","null","0","null","114","null","239","null","230","null","1","null","40","null","0","null","0","null","182","null","1","null","1","null","0","null","1","null","3","null","0","null","1","null","0","null","0","null","0","null","7","null","2","null","0","null","0","null","0","null","0","null","0","null","4","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48387","Red River County, Texas","9279","null","8898","null","7094","null","1400","null","84","null","46","null","4","null","270","null","381","null","358","null","19","null","178","null","10","null","7","null","125","null","13","null","0","null","0","null","4","null","0","null","0","null","0","null","0","null","2","null","0","null","17","null","3","null","6","null","0","null","4","null","2","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","3","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","3","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null",
