cz,has_dad_pooled_pooled_mean,has_mom_pooled_pooled_mean,two_par_pooled_pooled_mean,kfr_top01_pooled_pooled_mean,kfr_top20_pooled_pooled_mean,kfr_26_pooled_pooled_mean,kir_top01_pooled_pooled_mean,kir_top20_pooled_pooled_mean,lpov_nbh_pooled_pooled_mean,staycz_pooled_pooled_mean,stayhome_pooled_pooled_mean,teenbrth_pooled_female_mean,work_24_pooled_pooled_mean
100,0.8525940775871277,0.9390981793403625,0.7916987538337708,0.005207530688494444,0.137876495718956,0.48710790276527405,0.005232786759734154,0.12285984307527542,0.2850419282913208,0.729755699634552,0.14009211957454681,0.19275406002998352,0.841126561164856
200,0.8317226767539978,0.9345080256462097,0.7662314772605896,0.004493263084441423,0.11239737272262573,0.4786238968372345,0.003919139038771391,0.10185998678207397,0.3038460612297058,0.6819210052490234,0.15314722061157227,0.2418423593044281,0.8225102424621582
301,0.8749301433563232,0.9357923865318298,0.8107829689979553,0.003413694677874446,0.10428596287965775,0.4700639247894287,0.0023410555440932512,0.08746698498725891,0.19642367959022522,0.6540476083755493,0.15132427215576172,0.2414330691099167,0.7816276550292969
302,0.8367319107055664,0.9325100779533386,0.7692402005195618,0.007684459909796715,0.16369587182998657,0.49672505259513855,0.007159222848713398,0.14490103721618652,0.4532679617404938,0.7189172506332397,0.13742733001708984,0.1951637715101242,0.8386560678482056
401,0.7879384160041809,0.923506498336792,0.7114366292953491,0.008406683802604675,0.17205344140529633,0.49403467774391174,0.007431382779031992,0.15569287538528442,0.42685794830322266,0.6187261343002319,0.1257188320159912,0.19597628712654114,0.8516407012939453
402,0.778565526008606,0.9234578609466553,0.7020605802536011,0.0050765229389071465,0.13094951212406158,0.4779320955276489,0.004436318296939135,0.12312153726816177,0.23558861017227173,0.5882720351219177,0.15880411863327026,0.23532764613628387,0.8449748158454895
500,0.7756158113479614,0.9103690385818481,0.6859872341156006,0.007047997321933508,0.15357565879821777,0.48279881477355957,0.00691458722576499,0.14489257335662842,0.38749030232429504,0.6653465032577515,0.13756750524044037,0.21794627606868744,0.8382663726806641
601,0.8674577474594116,0.9479315280914307,0.8153620362281799,0.004423719830811024,0.13706837594509125,0.506683886051178,0.0034760276321321726,0.11521880328655243,0.2232387363910675,0.649260938167572,0.1262298822402954,0.2108103185892105,0.8294414281845093
602,0.8691996335983276,0.9415738582611084,0.810763418674469,0.0027599716559052467,0.12787863612174988,0.5053225755691528,0.0026263054460287094,0.10288309305906296,0.21909278631210327,0.6177576780319214,0.10522481054067612,0.20042844116687775,0.8147888779640198
700,0.7781510353088379,0.9154898524284363,0.6936312913894653,0.006382398772984743,0.135970339179039,0.48205068707466125,0.005844715051352978,0.13160434365272522,0.35268405079841614,0.687110185623169,0.14596903324127197,0.2686896324157715,0.8250229358673096
800,0.7860634922981262,0.9132463932037354,0.6993076801300049,0.004528396762907505,0.13460509479045868,0.4772507846355438,0.004596224520355463,0.1283891350030899,0.29291412234306335,0.6763014793395996,0.14696457982063293,0.25890153646469116,0.8223408460617065
900,0.7677806615829468,0.913849949836731,0.6816330552101135,0.009998987428843975,0.17534473538398743,0.490628719329834,0.009038333781063557,0.17035828530788422,0.42634403705596924,0.6969854235649109,0.15144547820091248,0.22002814710140228,0.8409131169319153
1001,0.866978108882904,0.9420991539955139,0.809097945690155,0.006914286408573389,0.14037758111953735,0.4933593273162842,0.004918730817735195,0.12473060190677643,0.2569755017757416,0.5527487993240356,0.12514841556549072,0.16058070957660675,0.8203420042991638
1002,0.8272368907928467,0.9297614097595215,0.7569937109947205,0.0036026521120220423,0.11798044294118881,0.4909254014492035,0.002966076135635376,0.10333920270204544,0.2326423078775406,0.6249330639839172,0.14026135206222534,0.22696395218372345,0.8315749168395996
1100,0.8092660903930664,0.9195578694343567,0.7288168668746948,0.005846492946147919,0.14440590143203735,0.4978616535663605,0.005046093370765448,0.12857387959957123,0.3679344356060028,0.6405543088912964,0.14181916415691376,0.2163349688053131,0.8498932123184204
1201,0.8570666909217834,0.9470694065093994,0.8042356967926025,0.003350400598719716,0.13250936567783356,0.49969300627708435,0.004000680521130562,0.12353549897670746,0.21358701586723328,0.5772680640220642,0.12313179671764374,0.1766170710325241,0.8350271582603455
1202,0.8426226377487183,0.9269800782203674,0.7695902585983276,0.004626789595931768,0.1163538321852684,0.49928537011146545,0.004469692707061768,0.10512139648199081,0.17297711968421936,0.6046650409698486,0.18397900462150574,0.2325371950864792,0.8117420673370361
1203,0.8296571969985962,0.9324617385864258,0.7621082663536072,0.007197612896561623,0.15416769683361053,0.49605968594551086,0.007454341277480125,0.14414305984973907,0.3871873617172241,0.625184178352356,0.1396322250366211,0.17413753271102905,0.8396724462509155
1204,0.8615342378616333,0.9534297585487366,0.8149489760398865,0.005247124470770359,0.12723778188228607,0.496133029460907,0.00564548559486866,0.12581506371498108,0.2712358236312866,0.6019036769866943,0.12262605130672455,0.19525547325611115,0.7776914834976196
1301,0.6808704137802124,0.8625873327255249,0.543403685092926,0.0029117129743099213,0.08591943234205246,0.41908714175224304,0.0022098447661846876,0.09944389015436172,0.1540013998746872,0.5915716290473938,0.16716691851615906,0.3497069776058197,0.810988187789917
1302,0.7080366611480713,0.8829523921012878,0.5909909605979919,0.00478709302842617,0.12114439904689789,0.4431452751159668,0.005013253539800644,0.1256268173456192,0.28865623474121094,0.6529132723808289,0.16665761172771454,0.2736046314239502,0.8282901644706726
1400,0.74038165807724,0.8972971439361572,0.6376762986183167,0.003232900518923998,0.10989168286323547,0.43567943572998047,0.003806961001828313,0.12310834228992462,0.27021318674087524,0.586622953414917,0.16440272331237793,0.28503456711769104,0.8105676770210266
1500,0.769497275352478,0.913902223110199,0.6833961606025696,0.006661535240709782,0.14690859615802765,0.4600973129272461,0.005850735120475292,0.14367859065532684,0.35446926951408386,0.6213555335998535,0.14289352297782898,0.22189517319202423,0.82627272605896
1600,0.6963200569152832,0.8665202260017395,0.5628388524055481,0.004425660241395235,0.1268894225358963,0.45623326301574707,0.004120657220482826,0.13111740350723267,0.2677402198314667,0.5973497033119202,0.14587752521038055,0.30316364765167236,0.8423042893409729
1701,0.7875128388404846,0.92084801197052,0.7083611488342285,0.011689425446093082,0.21063317358493805,0.501736581325531,0.011422707699239254,0.19815491139888763,0.47754377126693726,0.6633375883102417,0.1397225260734558,0.17130771279335022,0.8524181842803955
1702,0.6622926592826843,0.8294610977172852,0.4916946291923523,0.002440551295876503,0.0953449085354805,0.42353975772857666,0.004515060689300299,0.1041615828871727,0.19404293596744537,0.5765113234519958,0.16580645740032196,0.35699084401130676,0.8096177577972412
1800,0.7681447267532349,0.8906518220901489,0.6587779521942139,0.0052421619184315205,0.12549088895320892,0.4715125560760498,0.005777473095804453,0.1220843717455864,0.2638629376888275,0.5710723996162415,0.14013245701789856,0.24824658036231995,0.8270260691642761
1900,0.778823733329773,0.9111482501029968,0.689967930316925,0.0047835069708526134,0.14117559790611267,0.4713171422481537,0.004576290026307106,0.13810878992080688,0.34027838706970215,0.5689923167228699,0.13060684502124786,0.23525172472000122,0.8408339023590088
2000,0.7619964480400085,0.9229687452316284,0.684967041015625,0.00658586947247386,0.16583627462387085,0.48476284742355347,0.0065234070643782616,0.17566366493701935,0.5497910976409912,0.6450590491294861,0.16196584701538086,0.22155074775218964,0.8536346554756165
2100,0.7658327221870422,0.8946998119354248,0.6605325937271118,0.004938935860991478,0.1330486387014389,0.4665221869945526,0.004465996287763119,0.13128024339675903,0.28176379203796387,0.5158432126045227,0.132688507437706,0.22623620927333832,0.8225770592689514
2200,0.7802820801734924,0.901604175567627,0.6818622350692749,0.003557688556611538,0.12879057228565216,0.47904083132743835,0.0043149469420313835,0.13159404695034027,0.257856160402298,0.5786860585212708,0.14702799916267395,0.24293410778045654,0.8220070600509644
2300,0.8191555738449097,0.9341132044792175,0.7532564401626587,0.008086973801255226,0.1860666275024414,0.520260751247406,0.007402195129543543,0.17009462416172028,0.41213712096214294,0.6270636916160583,0.12123847007751465,0.18683171272277832,0.868720531463623
2400,0.7578906416893005,0.9251377582550049,0.6830322742462158,0.010125944390892982,0.2079361379146576,0.5117024183273315,0.009652741253376007,0.20311516523361206,0.5675126910209656,0.7062216401100159,0.160956010222435,0.19005921483039856,0.8575657606124878
2500,0.7786486744880676,0.9258802533149719,0.7045308947563171,0.007236795499920845,0.18091440200805664,0.4964197874069214,0.006709035951644182,0.19038952887058258,0.5555229187011719,0.571614682674408,0.1453968733549118,0.2051285356283188,0.8627468943595886
2600,0.6843462586402893,0.8370271921157837,0.5213747024536133,0.002857130952179432,0.10662812739610672,0.4377472698688507,0.002945242915302515,0.11570365726947784,0.22908760607242584,0.5357732176780701,0.15931369364261627,0.3165535628795624,0.83406001329422
2700,0.7808584570884705,0.9031305909156799,0.6839950084686279,0.0047197118401527405,0.14871513843536377,0.46887701749801636,0.005582891870290041,0.1517227292060852,0.32359644770622253,0.6597791314125061,0.15265347063541412,0.2790052592754364,0.8093705177307129
2800,0.7541369795799255,0.8721579313278198,0.6262980699539185,0.006430990528315306,0.14425542950630188,0.4720037877559662,0.00659266347065568,0.13947710394859314,0.16787053644657135,0.6399713158607483,0.14945659041404724,0.3433309495449066,0.8213140964508057
2900,0.7525128126144409,0.8845047950744629,0.6369971632957458,0.005735799204558134,0.1557830572128296,0.4636683762073517,0.006511259824037552,0.15076102316379547,0.2001221776008606,0.6298171877861023,0.14312738180160522,0.2938661575317383,0.818392276763916
3001,0.6539487242698669,0.8002026677131653,0.4541610777378082,0.004260951653122902,0.11157815903425217,0.42216458916664124,0.004851898644119501,0.12103331089019775,0.16993141174316406,0.5232833027839661,0.16045419871807098,0.33888575434684753,0.805977463722229
3002,0.6398380994796753,0.7639075517654419,0.4038448631763458,0.004172954708337784,0.10315989702939987,0.38735952973365784,0.0026121267583221197,0.1088680624961853,0.20327438414096832,0.5011003017425537,0.1527516394853592,0.4380265176296234,0.7695971131324768
3003,0.680916965007782,0.8647929430007935,0.5457125902175903,0.007652874570339918,0.15013673901557922,0.44920602440834045,0.007618502248078585,0.14982739090919495,0.3280450999736786,0.704833447933197,0.17160125076770782,0.31067073345184326,0.8121429681777954
3101,0.7220698595046997,0.8451583385467529,0.5672159194946289,0.0034134399611502886,0.14079460501670837,0.4541665017604828,0.0058291456662118435,0.14651063084602356,0.1391834169626236,0.5866645574569702,0.13765792548656464,0.3524601459503174,0.8008466362953186
3102,0.759599506855011,0.8987454771995544,0.6583417654037476,0.006182145792990923,0.16244100034236908,0.4965072274208069,0.00896754115819931,0.15935564041137695,0.3192994296550751,0.6236818432807922,0.1409558802843094,0.28366249799728394,0.8065069913864136
