cz,has_dad_black_pooled_mean,has_mom_black_pooled_mean,two_par_black_pooled_mean,kfr_top01_black_pooled_mean,kfr_top20_black_pooled_mean,kir_top01_black_pooled_mean,kir_top20_black_pooled_mean,lpov_nbh_black_pooled_mean,staycz_black_pooled_mean,stayhome_black_pooled_mean,teenbrth_black_female_mean,work_24_black_pooled_mean,has_dad_white_pooled_mean,has_mom_white_pooled_mean,two_par_white_pooled_mean,kfr_top01_white_pooled_mean,kfr_top20_white_pooled_mean,kir_top01_white_pooled_mean,kir_top20_white_pooled_mean,lpov_nbh_white_pooled_mean,staycz_white_pooled_mean,stayhome_white_pooled_mean,teenbrth_white_female_mean,work_24_white_pooled_mean,has_dad_asian_pooled_mean,has_mom_asian_pooled_mean,two_par_asian_pooled_mean,kfr_top01_asian_pooled_mean,kfr_top20_asian_pooled_mean,kir_top01_asian_pooled_mean,kir_top20_asian_pooled_mean,lpov_nbh_asian_pooled_mean,staycz_asian_pooled_mean,stayhome_asian_pooled_mean,teenbrth_asian_female_mean,work_24_asian_pooled_mean,has_dad_hisp_pooled_mean,has_mom_hisp_pooled_mean,two_par_hisp_pooled_mean,kfr_top01_hisp_pooled_mean,kfr_top20_hisp_pooled_mean,kir_top01_hisp_pooled_mean,kir_top20_hisp_pooled_mean,lpov_nbh_hisp_pooled_mean,staycz_hisp_pooled_mean,stayhome_hisp_pooled_mean,teenbrth_hisp_female_mean,work_24_hisp_pooled_mean,has_dad_other_pooled_mean,has_mom_other_pooled_mean,two_par_other_pooled_mean,kfr_top01_other_pooled_mean,kfr_top20_other_pooled_mean,kir_top01_other_pooled_mean,kir_top20_other_pooled_mean,lpov_nbh_other_pooled_mean,staycz_other_pooled_mean,stayhome_other_pooled_mean,teenbrth_other_female_mean,work_24_other_pooled_mean,has_dad_natam_pooled_mean,has_mom_natam_pooled_mean,two_par_natam_pooled_mean,kfr_top01_natam_pooled_mean,kfr_top20_natam_pooled_mean,kir_top01_natam_pooled_mean,kir_top20_natam_pooled_mean,lpov_nbh_natam_pooled_mean,staycz_natam_pooled_mean,stayhome_natam_pooled_mean,teenbrth_natam_female_mean,work_24_natam_pooled_mean
100,0.6264539957046509,0.893203616142273,0.5195886492729187,6.001144356559962e-5,0.06178268417716026,0.0022858609445393085,0.07944108545780182,0.23473303020000458,0.6389422416687012,0.17619453370571136,0.2973634898662567,0.8577057719230652,0.8616874814033508,0.9433029294013977,0.8049874901771545,0.00524122966453433,0.14286395907402039,0.005284424405544996,0.12588053941726685,0.28744205832481384,0.7355440258979797,0.13805334270000458,0.18794351816177368,0.8470785021781921,0.8951905965805054,0.9574726819992065,0.8515820503234863,0.02921406924724579,0.3119993507862091,0.024815242737531662,0.31859758496284485,0.47102251648902893,0.4289671778678894,0.1435762345790863,0.12809154391288757,0.7714226245880127,0.7949429750442505,0.8888663053512573,0.683875322341919,0.0102589912712574,0.10830959677696228,0.004924709443002939,0.1079539880156517,0.31773367524147034,0.6339840888977051,0.12356910854578018,0.22804056107997894,0.8292091488838196,0.8046703934669495,0.9345083236694336,0.7382518649101257,0.0023327700328081846,0.09676232188940048,0.001963630085811019,0.08753382414579391,0.28071436285972595,0.6601389050483704,0.18520353734493256,0.24086272716522217,0.8517301082611084,0.8116727471351624,0.9086065888404846,0.717960774898529,0.0013862823834642768,0.047186750918626785,0.0013862823834642768,0.03856606036424637,0.3298071622848511,0.7673490643501282,0.19329902529716492,0.24700811505317688,0.8349485993385315
200,0.6574006676673889,0.882291853427887,0.5396158695220947,3.884643083438277e-4,0.0337689071893692,3.884643083438277e-4,0.06988126039505005,0.20195811986923218,0.6487815976142883,0.2067805379629135,0.36537662148475647,0.7721226811408997,0.8400542140007019,0.9402133822441101,0.7802748084068298,0.004294942133128643,0.11812052875757217,0.003916565794497728,0.10468331724405289,0.3076658248901367,0.6839509010314941,0.15050837397575378,0.23591792583465576,0.8307701349258423,0.8985737562179565,0.9556914567947388,0.8539121747016907,0.001352769904769957,0.14762330055236816,0.03208563104271889,0.16889990866184235,0.455317884683609,0.5131552815437317,0.2241748422384262,0.09418623149394989,0.7384257316589355,0.8269808292388916,0.8453570008277893,0.6731565594673157,0.004028589464724064,0.07142762839794159,-1.8827819440048188e-4,0.08166859298944473,0.27412644028663635,0.69035804271698,0.12973956763744354,0.32676658034324646,0.8208267092704773,0.7602338790893555,0.8905655145645142,0.650068461894989,0.019970634952187538,0.11295109987258911,0.005886127706617117,0.11875060200691223,0.2847609519958496,0.6410088539123535,0.17325790226459503,0.25699666142463684,0.8034573197364807,0.6484791040420532,0.9034366011619568,0.5516188740730286,0.0019263381836935878,0.064002886414527893,0.0019263381836935878,0.1354314684867859,0.20498956739902496,0.5552890300750732,0.20039409399032593,0.3272250294685364,0.8622450232505798
301,0.5283116698265076,0.9164409041404724,0.4503895342350006,0.002733180532231927,0.032235294580459595,0.002733180532231927,0.055883944034576416,0.1538006067276001,0.5752021074295044,0.15729470551013947,0.30127373337745667,0.7625969648361206,0.8848001956939697,0.939972996711731,0.824802815914154,0.0034878880251199007,0.10804078727960587,0.0023246644996106625,0.08766110986471176,0.19805485010147095,0.6573516130447388,0.149674654006958,0.2365712970495224,0.7860826849937439,0.919005811214447,0.887682318687439,0.8106111288070679,0.040867678821086884,0.2657163143157959,0.040867678821086884,0.2657163143157959,0.36110207438468933,0.43086186051368713,0.3530906140804291,NA,NA,0.6468918919563293,0.8753593564033508,0.5244393944740295,-1.4778256627323572e-5,0.03549399971961975,-1.4778256627323572e-5,0.07395554333925247,0.22788377106189728,0.5253773927688599,NA,NA,NA,0.6847937703132629,0.9685129523277283,0.6557194590568542,5.966158933006227e-4,0.11060231178998947,5.966158933006227e-4,0.138535276055336,0.16535280644893646,0.6897095441818237,0.2297249436378479,0.19826894998550415,0.8590583801269531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,0.5480080246925354,0.8600378632545471,0.40806815028190613,9.800676489248872e-4,0.05172662436962128,0.0028758421540260315,0.07401251047849655,0.2993144094944,0.7585088610649109,0.20547440648078918,0.3856014311313629,0.8248828649520874,0.8620747327804565,0.9420118927955627,0.8040814399719238,0.007922881282866001,0.17599758505821228,0.0071550277061760426,0.15224763751029968,0.4676207900047302,0.7211629748344421,0.13140341639518738,0.17739275097846985,0.8478912711143494,0.9134351015090942,0.9580146670341492,0.8712932467460632,0.06265340000391006,0.3396099805831909,0.059845197945833206,0.33624014258384705,0.582306981086731,0.4618740379810333,0.16575577855110168,0.05800941586494446,0.7912108898162842,0.8050869107246399,0.86006098985672,0.6650575399398804,0.003361569717526436,0.1409740447998047,0.0022504585795104504,0.138751819729805,0.4738108813762665,0.6343591213226318,0.1383180320262909,0.22527611255645752,0.8609654307365417,0.7903924584388733,0.9280551075935364,0.7182736992835999,0.0045846267603337765,0.15349628031253815,0.010296659544110298,0.14561760425567627,0.41351109743118286,0.655311107635498,0.1656438559293747,0.24920502305030823,0.823495626449585,0.7806997299194336,0.8851433992385864,0.6652771830558777,-3.1606529955752194e-4,0.07104074209928513,0.0034480502363294363,0.09362544119358063,0.3747355341911316,0.6453385949134827,0.045441463589668274,0.17438258230686188,0.7974762320518494
401,0.5008235573768616,0.8732748627662659,0.3740435242652893,0.0011710419785231352,0.04500338062644005,0.002012701937928796,0.07774179428815842,0.2553711533546448,0.7140696048736572,0.20264923572540283,0.4008660912513733,0.8352412581443787,0.8713943958282471,0.9501975178718567,0.8215975761413574,0.010414349846541882,0.2160501778125763,0.009003495797514915,0.1818591207265854,0.4788438081741333,0.59452056884765625,0.10365228354930878,0.1325005292892456,0.8703262209892273,0.9012193083763123,0.8873665928840637,0.7894653081893921,0.0327414870262146,0.30831417441368103,0.03039517067372799,0.2871973514556885,0.5668250322341919,0.44037318229675293,0.1927967369556427,0.10397925972938538,0.8181803226470947,0.759777307510376,0.8003743886947632,0.560071587562561,0.008612038567662239,0.09692525118589401,0.00527483643963933,0.1191248968243599,0.3764208257198334,0.6618251800537109,0.16745105385780334,0.3027614951133728,0.8134752511978149,0.7407861351966858,0.9044255018234253,0.6450337767601013,0.011502204462885857,0.12836085259914398,0.008468836545944214,0.1677946150302887,0.40371835231781006,0.5604013204574585,0.1532881110906601,0.24059328436851501,0.8515641093254089,0.671414852142334,0.8996641039848328,0.5719724893569946,-0.0013298616977408528,0.08287940919399261,-0.0013298616977408528,0.06347905844449997,0.5146960616111755,0.5629941821098328,0.06330779194831848,0.21715031564235687,0.8002200722694397
402,0.5946784615516663,0.8735179305076599,0.4681665301322937,4.3556225136853755e-4,0.0505976676940918,0.0029613946098834276,0.08297424763441086,0.18921448290348053,0.6271387338638306,0.23781071603298187,0.3943106532096863,0.8367307782173157,0.8556620478630066,0.9494484663009644,0.8051013946533203,0.006929439026862383,0.16558901965618134,0.0050463611260056496,0.14140859246253967,0.2552531957626343,0.5756500959396362,0.12906070053577423,0.16721029579639435,0.8611108660697937,0.8839302659034729,0.9916547536849976,0.8725761771202087,0.024069715291261673,0.23873883485794067,0.024069715291261673,0.31849342584609985,0.3653453588485718,0.33690330386161804,0.10930660367012024,0.1475839614868164,NA,0.7651667594909668,0.7914494276046753,0.5573681592941284,1.1649459338514134e-4,0.07315734028816223,1.1649459338514134e-4,0.05820007622241974,0.14615263044834137,0.5857892036437988,0.19874630868434906,0.4137914180755615,0.7746933698654175,0.6823599338531494,0.9161006212234497,0.5992435216903687,-5.144927999936044e-4,0.12181659787893295,-5.144927999936044e-4,0.10085224360227585,0.3416537344455719,0.5501282215118408,0.1869826465845108,0.20996496081352234,0.892310380935669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,0.527849555015564,0.856417179107666,0.3842576742172241,8.05127143394202e-4,0.046769335865974426,0.0015339055098593235,0.08447533845901489,0.23139512538909912,0.7297275066375732,0.20033186674118042,0.3740190267562866,0.8262590169906616,0.8645488023757935,0.9430686831474304,0.8076133728027344,0.009393785148859024,0.198356032371521,0.00879408698529005,0.17053228616714478,0.44637730717658997,0.6459048986434937,0.11264853924512863,0.1562793105840683,0.8599642515182495,0.8451327085494995,0.8442404270172119,0.6894877552986145,0.018208960071206093,0.22169987857341766,0.02094057947397232,0.2253420352935791,0.478974848985672,0.5521312355995178,0.26386237144470215,0.13565748929977417,0.7500194311141968,0.7651544213294983,0.7684880495071411,0.5337412357330322,0.002267831703647971,0.08288082480430603,0.0019421253819018602,0.09802617132663727,0.3209412395954132,0.6845307350158691,0.1704634428024292,0.3198530077934265,0.8261236548423767,0.7391506433486938,0.8879804015159607,0.6268702149391174,0.005967683158814907,0.13503780961036682,0.009331515058875084,0.1498386710882187,0.36205366253852844,0.6302700638771057,0.1797580122947693,0.24146942794322968,0.8305075168609619,0.7128040194511414,0.8680439591407776,0.5812391638755798,1.4991311763878912e-4,0.06991884857416153,0.004288557916879654,0.06888418644666672,0.34748995304107666,0.7314448356628418,0.14738449454307556,0.4012436270713806,0.7024993896484375
601,0.6258453726768494,0.9010257124900818,0.5258115530014038,0.003138841362670064,0.019833168014883995,7.407598895952106e-4,0.07179160416126251,0.2102898806333542,0.5487799644470215,0.17376713454723358,0.3962526023387909,0.8622364401817322,0.8829318881034851,0.9543799757957458,0.8372215032577515,0.00482774805277586,0.14481885731220245,0.003656410612165928,0.1201329231262207,0.22516988217830658,0.6569262742996216,0.12244194746017456,0.19588392972946167,0.8343467712402344,0.8907145261764526,0.9764695167541504,0.8632498979568481,0.008563878014683723,0.4165404736995697,0.015810254961252213,0.35132309794425964,0.6470421552658081,0.24080972373485565,0.056877490133047104,NA,0.6674659252166748,0.7638062238693237,0.7866429686546326,0.5509686470031738,-2.8653343906626105e-4,0.1039755791425705,-2.8653343906626105e-4,0.07303095608949661,0.17286351323127747,0.579535722732544,0.10424774885177612,0.36393624544143677,0.8033076524734497,0.7912811636924744,0.9773060083389282,0.7701887488365173,0.0026580020785331726,0.053618885576725006,0.0026580020785331726,0.12346015870571136,0.22094571590423584,0.4814756512641907,0.13357828557491302,0.34344810247421265,0.8792028427124023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
602,0.6135717034339905,0.8689695596694946,0.4813571274280548,5.601269658654928e-4,0.08158792555332184,5.601269658654928e-4,0.044694725424051285,0.17433233559131622,0.49464836716651917,0.14866836369037628,0.3214888274669647,0.6695025563240051,0.8788102269172668,0.9468469023704529,0.8257059454917908,0.0030208914540708065,0.1344931572675705,0.0026827272959053516,0.10570088773965836,0.21895232796669006,0.6263044476509094,0.10431840270757675,0.1949826329946518,0.82684725522995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8172897696495056,0.8494517803192139,0.6698755621910095,-5.826299893669784e-4,0.04852261766791344,-5.826299893669784e-4,0.11805903911590576,0.23634105920791626,0.5187378525733948,0.07946095615625381,0.1896936595439911,0.7993285655975342,0.8338687419891357,0.9592844247817993,0.7880120873451233,0.0018837052630260587,0.03629940375685692,0.02435561642050743,0.15427693724632263,0.30768758058547974,0.4485279321670532,0.016519654542207718,0.18389619886875153,0.8908671140670776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
700,0.5171068906784058,0.851383626461029,0.3685063123703003,2.923608699347824e-4,0.0337950773537159,0.0010229811305180192,0.07629282772541046,0.24685539305210114,0.7642953395843506,0.23493820428848267,0.4617982804775238,0.8120640516281128,0.8624522089958191,0.9449424147605896,0.8073859214782715,0.008278004825115204,0.17438924312591553,0.007156798616051674,0.15260690450668335,0.3882456421852112,0.666674017906189,0.11846725642681122,0.19897665083408356,0.8421609997749329,0.8941478729248047,0.927607536315918,0.8215718269348145,0.01995725929737091,0.21997708082199097,0.025688882917165756,0.2267201691865921,0.4981161057949066,0.5396554470062256,0.217195063829422,0.2527041435241699,0.8192400932312012,0.7821414470672607,0.7935242652893066,0.5761381983757019,0.011769009754061699,0.08239249885082245,0.011769009754061699,0.09025460481643677,0.32655927538871765,0.670540988445282,0.1326378583908081,0.40766435861587524,0.8217822909355164,0.7583532929420471,0.9043983817100525,0.6625522375106812,0.004209935665130615,0.0909246876835823,-4.196941736154258e-4,0.09555431455373764,0.3003847301006317,0.6389158964157104,0.15076370537281036,0.29993337392807007,0.8128071427345276,0.7559859156608582,0.9067914485931396,0.6699418425559998,-0.004444368649274111,0.09712187200784683,-0.004444368649274111,0.07464995980262756,0.22565793991088867,0.6689439415931702,0.13734421133995056,0.2821347117424011,0.7654646635055542
